Boston Celtics,Eastern,Atlantic,0.739,1.241,Atlanta Hawks,Indiana Pacers,Milwaukee Bucks,Orlando Magic,Chicago Bulls,Cleveland Cavaliers,Detroit Pistons,Charlotte Hornets,Miami Heat,Washington Wizards
Brooklyn Nets,Eastern,Atlantic,0.712,1.291,Cleveland Cavaliers,Orlando Magic,Detroit Pistons,Miami Heat,Chicago Bulls,Indiana Pacers,Milwaukee Bucks,Atlanta Hawks,Charlotte Hornets,Washington Wizards
New York Knicks,Eastern,Atlantic,0.712,1.291,Miami Heat,Milwaukee Bucks,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Detroit Pistons,Indiana Pacers,Atlanta Hawks,Orlando Magic,Washington Wizards
Philadelphia 76ers,Eastern,Atlantic,0.697,1.312,Charlotte Hornets,Detroit Pistons,Cleveland Cavaliers,Washington Wizards,Chicago Bulls,Indiana Pacers,Milwaukee Bucks,Atlanta Hawks,Miami Heat,Orlando Magic
Toronto Raptors,Eastern,Atlantic,0.762,1.386,Chicago Bulls,Washington Wizards,Atlanta Hawks,Indiana Pacers,Cleveland Cavaliers,Detroit Pistons,Milwaukee Bucks,Charlotte Hornets,Miami Heat,Orlando Magic
Chicago Bulls,Eastern,Central,0.73,1.529,Charlotte Hornets,New York Knicks,Toronto Raptors,Miami Heat,Boston Celtics,Brooklyn Nets,Philadelphia 76ers,Atlanta Hawks,Orlando Magic,Washington Wizards
Cleveland Cavaliers,Eastern,Central,0.724,1.424,Philadelphia 76ers,Washington Wizards,Brooklyn Nets,Orlando Magic,Boston Celtics,New York Knicks,Toronto Raptors,Atlanta Hawks,Charlotte Hornets,Miami Heat
Detroit Pistons,Eastern,Central,0.739,1.449,Atlanta Hawks,Brooklyn Nets,Philadelphia 76ers,Washington Wizards,Boston Celtics,New York Knicks,Toronto Raptors,Atlanta Hawks,Charlotte Hornets,Miami Heat
Indiana Pacers,Eastern,Central,0.694,1.504,Toronto Raptors,Miami Heat,Atlanta Hawks,Boston Celtics,Brooklyn Nets,New York Knicks,Philadelphia 76ers,Charlotte Hornets,Orlando Magic,Washington Wizards
Milwaukee Bucks,Eastern,Central,0.751,1.534,Boston Celtics,Orlando Magic,Charlotte Hornets,New York Knicks,Brooklyn Nets,Philadelphia 76ers,Toronto Raptors,Atlanta Hawks,Miami Heat,Washington Wizards
Atlanta Hawks,Eastern,Southeast,0.589,1.473,Indiana Pacers,Toronto Raptors,Boston Celtics,Detroit Pistons,Brooklyn Nets,New York Knicks,Philadelphia 76ers,Chicago Bulls,Cleveland Cavaliers,Milwaukee Bucks
Charlotte Hornets,Eastern,Southeast,0.615,1.411,Milwaukee Bucks,New York Knicks,Chicago Bulls,Philadelphia 76ers,Boston Celtics,Brooklyn Nets,Toronto Raptors,Cleveland Cavaliers,Detroit Pistons,Indiana Pacers
Miami Heat,Eastern,Southeast,0.45,1.4,Brooklyn Nets,Chicago Bulls,Indiana Pacers,New York Knicks,Boston Celtics,Philadelphia 76ers,Toronto Raptors,Cleveland Cavaliers,Detroit Pistons,Milwaukee Bucks
Orlando Magic,Eastern,Southeast,0.498,1.42,Boston Celtics,Cleveland Cavaliers,Brooklyn Nets,Milwaukee Bucks,New York Knicks,Philadelphia 76ers,Toronto Raptors,Chicago Bulls,Detroit Pistons,Indiana Pacers
